date, pm25, pm10, no2, latitude, longitude
06/04/2019,65,43,8,59.33716532,18.03549986
07/04/2019,69,28,10,59.33716532,18.03549986
08/04/2019,36,28,11,59.33716532,18.03549986
09/04/2019,23,21,12,59.33716532,18.03549986
10/04/2019,22,22,15,59.33716532,18.03549986
11/04/2019,26,23,15,59.33716532,18.03549986
12/04/2019,26,15,7,59.33716532,18.03549986
13/04/2019,19,14,7,59.33716532,18.03549986
14/04/2019,20,36,24,59.33716532,18.03549986
15/04/2019,29,24,12,59.33716532,18.03549986
16/04/2019,24,27,19,59.33716532,18.03549986
17/04/2019,33,50,21,59.33716532,18.03549986
18/04/2019,52,48,23,59.33716532,18.03549986
19/04/2019,48,36,14,59.33716532,18.03549986
20/04/2019,47,30,8,59.33716532,18.03549986
21/04/2019,38,24,4,59.33716532,18.03549986
22/04/2019,34,33,12,59.33716532,18.03549986
23/04/2019,55,51,10,59.33716532,18.03549986
24/04/2019,74,58,9,59.33716532,18.03549986
25/04/2019,93,49,10,59.33716532,18.03549986
26/04/2019,81,40,7,59.33716532,18.03549986
27/04/2019,70,31,5,59.33716532,18.03549986
28/04/2019,58,24,12,59.33716532,18.03549986
29/04/2019,31,33,15,59.33716532,18.03549986
30/04/2019,35,25,6,59.33716532,18.03549986
01/05/2019,39,15,14,59.33716532,18.03549986
02/05/2019,27,21,12,59.33716532,18.03549986
03/05/2019,20,15,7,59.33716532,18.03549986
04/05/2019,18,14,6,59.33716532,18.03549986
05/05/2019,18,20,9,59.33716532,18.03549986
06/05/2019,22,18,8,59.33716532,18.03549986
07/05/2019,17,22,9,59.33716532,18.03549986
08/05/2019,18,21,8,59.33716532,18.03549986
09/05/2019,24,23,12,59.33716532,18.03549986
10/05/2019,31,18,11,59.33716532,18.03549986
11/05/2019,40,18,7,59.33716532,18.03549986
12/05/2019,27,15,10,59.33716532,18.03549986
13/05/2019,18,20,13,59.33716532,18.03549986
14/05/2019,18,22,12,59.33716532,18.03549986
15/05/2019,22,25,15,59.33716532,18.03549986
16/05/2019,24,14,8,59.33716532,18.03549986
17/05/2019,17,18,7,59.33716532,18.03549986
18/05/2019,22,19,10,59.33716532,18.03549986
19/05/2019,38,26,11,59.33716532,18.03549986
20/05/2019,50,28,15,59.33716532,18.03549986
21/05/2019,53,29,10,59.33716532,18.03549986
22/05/2019,56,26,15,59.33716532,18.03549986
23/05/2019,50,27,13,59.33716532,18.03549986
24/05/2019,43,14,6,59.33716532,18.03549986
25/05/2019,23,8,7,59.33716532,18.03549986
26/05/2019,14,8,8,59.33716532,18.03549986
27/05/2019,13,14,10,59.33716532,18.03549986
28/05/2019,24,18,11,59.33716532,18.03549986
29/05/2019,19,14,4,59.33716532,18.03549986
30/05/2019,14,11,6,59.33716532,18.03549986
31/05/2019,14,9,4,59.33716532,18.03549986
01/06/2019,16,9,5,59.33716532,18.03549986
02/06/2019,19,13,6,59.33716532,18.03549986
03/06/2019,22,17,11,59.33716532,18.03549986
04/06/2019,37,21,11,59.33716532,18.03549986
05/06/2019,45,33,8,59.33716532,18.03549986
06/06/2019,58,30,9,59.33716532,18.03549986
07/06/2019,62,20,5,59.33716532,18.03549986
08/06/2019,50,13,4,59.33716532,18.03549986
09/06/2019,23,12,7,59.33716532,18.03549986
10/06/2019,19,16,12,59.33716532,18.03549986
11/06/2019,30,10,4,59.33716532,18.03549986
12/06/2019,14,17,9,59.33716532,18.03549986
13/06/2019,40,19,13,59.33716532,18.03549986
14/06/2019,45,13,10,59.33716532,18.03549986
15/06/2019,24,13,9,59.33716532,18.03549986
16/06/2019,24,13,10,59.33716532,18.03549986
17/06/2019,19,16,11,59.33716532,18.03549986
18/06/2019,24,17,12,59.33716532,18.03549986
19/06/2019,31,19,9,59.33716532,18.03549986
20/06/2019,36,16,3,59.33716532,18.03549986
21/06/2019,38,6,2,59.33716532,18.03549986
22/06/2019,12,7,3,59.33716532,18.03549986
23/06/2019,13,8,6,59.33716532,18.03549986
24/06/2019,13,9,7,59.33716532,18.03549986
25/06/2019,12,12,18,59.33716532,18.03549986
26/06/2019,30,15,11,59.33716532,18.03549986
27/06/2019,35,10,11,59.33716532,18.03549986
28/06/2019,13,13,7,59.33716532,18.03549986
29/06/2019,19,14,6,59.33716532,18.03549986
30/06/2019,22,13,7,59.33716532,18.03549986
01/07/2019,22,11,10,59.33716532,18.03549986
02/07/2019,15,11,11,59.33716532,18.03549986
03/07/2019,12,10,9,59.33716532,18.03549986
04/07/2019,11,6,9,59.33716532,18.03549986
